sepal_length,sepal_width,petal_length,petal_width,species
2.863516982054536,5.089027318592414,7.048528830983203,8.54318625145712,setosa
8.478341955622849,8.677911610358178,6.7186188648031475,6.9910863193846176,setosa
7.423930308549741,5.755264244921518,5.390698660560336,0.7640951462419399,setosa
7.106704292342738,8.348395845137734,7.108495970570578,1.8534076687999268,setosa
5.0,3.6,1.4,0.2,setosa
5.4,3.9,1.7,0.4,setosa
4.6,3.4,1.4,0.3,setosa
3.623977114771446,2.883058642167129,5.676969431006623,5.08203375190213,setosa
0.30454616134656387,5.819819989758656,4.298830300800235,9.544604159388342,setosa
0.558589297558022,4.848438447861021,7.343439558122621,5.68463083401721,setosa
0.3265800977362021,6.777745125765221,7.024206101692387,5.504914200279751,setosa
4.185577223968638,3.712391848141819,6.574344486533313,2.233959182074882,setosa
4.8,3.0,1.4,0.1,setosa
5.840243547143781,9.266444299285027,5.058427099732988,0.9898304872335939,setosa
5.8,4.0,1.2,0.2,setosa
5.246506959483867,5.240501208486733,1.2079077618104739,2.6204587803276382,setosa
5.4,3.9,1.3,0.4,setosa
4.612662184136054,8.913361344339348,5.1713418527207615,7.542662696871417,setosa
5.7,3.8,1.7,0.3,setosa
3.7684451433253674,4.340312063110877,8.913880509642159,9.286869068790205,setosa
5.4,3.4,1.7,0.2,setosa
5.1,3.7,1.5,0.4,setosa
4.6,3.6,1.0,0.2,setosa
5.1,3.3,1.7,0.5,setosa
8.812269540554663,4.703581280599689,7.402343978562379,9.756608678381099,setosa
0.18665353646142524,5.607240028778014,0.6250820252225076,9.507714662503346,setosa
5.0,3.4,1.6,0.4,setosa
1.9562352687513063,7.738687335783332,5.658705716587754,1.2681690560889025,setosa
9.062084579930222,9.707026108219676,0.1698779405723072,0.5763200466089247,setosa
4.7,3.2,1.6,0.2,setosa
5.511448706932608,8.32076516405982,3.7783307804307444,0.4154122547763406,setosa
7.7821589242683284,5.910153562866938,0.5174157909237675,3.0399723297180845,setosa
6.193263300690079,0.3059650411580628,5.023820441789852,8.651320041254653,setosa
3.412290949231649,5.792663235877073,5.007475831956416,2.9373217164046075,setosa
0.28678403264848495,8.420013576728506,4.1155138062730074,9.529945431222108,setosa
5.0,3.2,1.2,0.2,setosa
6.573329423396846,8.713204719915467,2.0293967634623944,1.1980568835611927,setosa
2.0270537185628204,1.4230973196427021,5.6380519204236546,6.802636373107305,setosa
4.4,3.0,1.3,0.2,setosa
2.670568176558157,7.675208617557308,3.629861926316603,1.2343219326160249,setosa
5.0,3.5,1.3,0.3,setosa
5.325073886028655,5.990455000732087,5.436491250393974,0.7101580949011843,setosa
4.4,3.2,1.3,0.2,setosa
5.0,3.5,1.6,0.6,setosa
5.1,3.8,1.9,0.4,setosa
5.381516948862872,0.3220413233975927,5.597897535933596,2.371864518607075,setosa
5.0792543776027905,5.434345759015415,0.1275840948348217,3.75402106462103,setosa
4.6,3.2,1.4,0.2,setosa
9.723036938078245,2.2375532778483196,6.8319997854364924,5.367567120366122,setosa
7.512614753180854,0.6547782048715578,2.346091169388159,1.8711752479352628,setosa
